Date,Nb_Cas_Cumulatif,Nb_Nvx_Cas,Nb_Cas_Actifs,Nb_Deces_Cumulatif_Total,Nb_Nvx_Deces_Total,Nb_Nvx_Deces_Autre
6/20/2021,375100,93,1598,11205,2,NaN
6/21/2021,375193,93,1530,11207,2,NaN
6/22/2021,375321,128,1489,11208,1,NaN
6/23/2021,375400,79,1450,11209,1,NaN
6/24/2021,375479,79,1357,11210,1,NaN
6/25/2021,375583,104,1324,11212,2,NaN
6/26/2021,375663,80,1260,11213,1,NaN
6/27/2021,375711,48,1196,11214,1,NaN
6/28/2021,375807,96,1157,11215,1,NaN
6/29/2021,375908,101,1156,11216,1,NaN
6/30/2021,375982,74,1129,11217,1,NaN
7/1/2021,376058,76,1094,11218,1,NaN
7/2/2021,376124,66,1059,11219,1,NaN
7/3/2021,376182,58,1030,11219,NaN,NaN
7/4/2021,376223,41,991,11220,1,NaN
7/5/2021,376300,77,987,11220,NaN,NaN
7/6/2021,376384,84,996,11221,1,NaN
7/7/2021,376453,69,991,11221,NaN,NaN
7/8/2021,376523,70,990,11221,NaN,NaN
7/9/2021,376594,71,955,11221,NaN,NaN
7/10/2021,376654,60,954,11222,1,NaN
7/11/2021,376707,53,934,11224,2,NaN
7/12/2021,376767,60,921,11224,NaN,NaN
7/13/2021,376846,79,940,11225,1,NaN
7/14/2021,376921,75,950,11225,NaN,NaN
7/15/2021,377017,96,948,11226,1,NaN
7/16/2021,377089,72,946,11226,NaN,NaN
7/17/2021,377161,72,946,11226,NaN,NaN
7/18/2021,377227,66,953,11227,1,NaN
7/19/2021,377305,78,956,11227,NaN,NaN
7/20/2021,377411,106,1001,11228,1,NaN
7/21/2021,377513,102,1042,11229,1,NaN
7/22/2021,377638,125,1090,11231,2,NaN
7/23/2021,377753,115,1145,11231,NaN,NaN
7/24/2021,377835,82,1128,11231,NaN,NaN
7/25/2021,377904,69,1119,11231,NaN,NaN
7/26/2021,378014,110,1140,11231,NaN,NaN
7/27/2021,378150,136,1200,11231,NaN,NaN
7/28/2021,378282,132,1237,11231,NaN,NaN
7/29/2021,378383,101,1231,11231,NaN,NaN
7/30/2021,378605,222,1344,11231,NaN,NaN
7/31/2021,378753,148,1381,11231,NaN,NaN
8/1/2021,378887,134,1400,11231,NaN,NaN
8/2/2021,379081,194,1482,11231,NaN,NaN
8/3/2021,379274,193,1582,11232,1,NaN
8/4/2021,379541,267,1751,11232,NaN,NaN
8/5/2021,379836,295,1928,11232,NaN,NaN
8/6/2021,380105,269,2071,11232,NaN,NaN
8/7/2021,380355,250,2179,11232,NaN,NaN
8/8/2021,380591,236,2234,11233,1,NaN
8/9/2021,380887,296,2344,11234,1,NaN
8/10/2021,381247,360,2524,11234,NaN,NaN
8/11/2021,381672,425,2797,11234,NaN,NaN
8/12/2021,382096,424,2974,11234,NaN,NaN
8/13/2021,382499,403,3097,11235,1,NaN
8/14/2021,382867,368,3154,11235,NaN,NaN
8/15/2021,383221,354,3218,11235,NaN,NaN
